Model,Accuracy,F1,Balanced Accuracy,ROC-AUC,mean_rank
DummyClassifier,0.7605810607500885,0.0,0.5,0.5,6.0
LogisticRegression,0.8135633515203005,0.6853780155969065,0.8254509608125782,0.9102809186854637,2.0
KNN,0.8362883044349362,0.6450782167220218,0.7627396847588084,0.8623654506794667,3.75
DecisionTree,0.8131019446504073,0.6119620489207163,0.7454074854501519,0.7454176510438887,5.0
RandomForest,0.8536586187113853,0.6649431161697668,0.7690261342022489,0.9025278057492617,2.75
GradientBoosting,0.8650852994256356,0.6817769024355592,0.7755480641084651,0.9201849955017437,1.5
